Continent,WeekRange,Mean,Std,Min,Max
Africa,09/05/2021 - 15/05/2021,847.1836734693877,902.965915595872,0,3969
Africa,16/05/2021 - 22/05/2021,966.8979591836735,1000.8769330962132,0,4236
Africa,23/05/2021 - 29/05/2021,1069.204081632653,1464.3995922617319,0,7707
Africa,30/05/2021 - 05/06/2021,1168.3877551020407,1696.1987994769183,0,6547
Africa,06/06/2021 - 12/06/2021,1527.0816326530612,2447.0990720028644,0,9319
Africa,13/06/2021 - 19/06/2021,2003.3265306122448,3560.344671913539,0,13575
Africa,20/06/2021 - 26/06/2021,2821.918367346939,5227.621929220202,0,18762
Africa,27/06/2021 - 03/07/2021,3681.6326530612246,6816.635740640554,0,26485
Africa,04/07/2021 - 10/07/2021,4164.3877551020405,6797.210579275414,0,22910
Africa,11/07/2021 - 17/07/2021,3874.387755102041,5211.89753439317,0,17489
Africa,18/07/2021 - 24/07/2021,2952.877551020408,4258.1396692719245,0,16240
Africa,25/07/2021 - 31/07/2021,3704.5714285714284,4261.933540073097,0,17302
Africa,01/08/2021 - 07/08/2021,3786.8571428571427,4467.27929411926,0,13646
Africa,08/08/2021 - 14/08/2021,3669.591836734694,4235.1087791931195,0,14271
Africa,15/08/2021 - 21/08/2021,3771.4285714285716,4378.00999313615,0,14727
Africa,22/08/2021 - 28/08/2021,3438.326530612245,3759.0791945842893,0,13251
Africa,29/08/2021 - 04/09/2021,2601.938775510204,2700.2162753515636,0,9544
Africa,05/09/2021 - 11/09/2021,2000.795918367347,1824.8917659639412,0,6939
Africa,12/09/2021 - 18/09/2021,1641.204081632653,1643.1005241563869,0,9607
Africa,19/09/2021 - 25/09/2021,1092.5714285714287,707.4376886576889,0,2967
Africa,26/09/2021 - 02/10/2021,773.5918367346939,596.845000759806,0,3784
Africa,03/10/2021 - 09/10/2021,578.1836734693877,330.3203415795407,0,1166
Africa,10/10/2021 - 16/10/2021,498.7142857142857,298.5513635317492,0,947
Africa,17/10/2021 - 23/10/2021,407.16326530612247,281.75420338026726,0,885
Africa,24/10/2021 - 30/10/2021,385.6530612244898,286.46426122499764,0,948
Africa,31/10/2021 - 06/11/2021,344.46938775510205,295.86448911345775,0,951
Africa,07/11/2021 - 13/11/2021,356.3265306122449,383.26543172645063,0,1924
Africa,14/11/2021 - 20/11/2021,329.734693877551,376.629945233061,0,1881
Africa,21/11/2021 - 27/11/2021,864.8571428571429,2675.7443201222845,0,18586
Africa,28/11/2021 - 04/12/2021,1537.8775510204082,3700.076804566883,0,16366
Africa,05/12/2021 - 11/12/2021,2489.1632653061224,5759.248921470211,0,22388
Africa,12/12/2021 - 18/12/2021,3761.5102040816328,8545.44060479634,0,37875
Africa,19/12/2021 - 25/12/2021,3447.7755102040815,5735.580500500459,0,21156
Africa,26/12/2021 - 01/01/2022,2639.1632653061224,3021.8832659103687,0,12978
Africa,02/01/2022 - 08/01/2022,2876.9795918367345,2740.5670907207314,0,11106
Africa,09/01/2022 - 15/01/2022,3074.2244897959185,2808.949494215661,0,9569
Africa,16/01/2022 - 22/01/2022,3349.7755102040815,4244.951262310058,0,19923
Africa,23/01/2022 - 29/01/2022,2963.4489795918366,3229.4472505705503,0,16519
Africa,30/01/2022 - 05/02/2022,2475.7551020408164,2600.624240211475,0,12276
Africa,06/02/2022 - 12/02/2022,1811.7142857142858,1546.891466242326,0,5628
Africa,13/02/2022 - 19/02/2022,1366.408163265306,1383.400413810829,0,5398
Africa,20/02/2022 - 26/02/2022,1162.0408163265306,1239.7717188926297,0,6724
Africa,27/02/2022 - 05/03/2022,739.0816326530612,783.6387304516958,0,3413
Africa,06/03/2022 - 12/03/2022,871.204081632653,1942.9565205676445,0,11090
Africa,13/03/2022 - 19/03/2022,259.48979591836735,506.9778151971158,0,1980
Africa,20/03/2022 - 26/03/2022,402.38775510204084,1034.693771451376,0,5516
Africa,27/03/2022 - 02/04/2022,293.16326530612247,787.2382196360783,0,4375
Africa,03/04/2022 - 09/04/2022,378.3673469387755,925.111450355162,0,4001
Africa,10/04/2022 - 16/04/2022,285.3673469387755,629.1499123777241,0,2800
Africa,17/04/2022 - 23/04/2022,498.38775510204084,1228.994589361675,0,4629
Africa,24/04/2022 - 30/04/2022,666.3265306122449,1668.6027261823376,0,6371
Africa,01/05/2022 - 07/05/2022,935.0612244897959,2465.8071819737793,0,9757
Africa,08/05/2022 - 14/05/2022,1079.2857142857142,2716.5750265729826,0,10017
Africa,15/05/2022 - 21/05/2022,842.265306122449,2486.1558242219903,0,13613
Africa,22/05/2022 - 28/05/2022,585.7551020408164,1332.7112016895644,-573,5284
Africa,29/05/2022 - 04/06/2022,425.53061224489795,766.0774575187337,0,2970
Africa,05/06/2022 - 11/06/2022,439.7959183673469,629.8670487885993,0,2788
Africa,12/06/2022 - 18/06/2022,512.9183673469388,616.0657377238884,0,1956
Africa,19/06/2022 - 25/06/2022,687.2448979591836,1007.4897958666927,0,3343
Africa,26/06/2022 - 02/07/2022,678.1428571428571,1308.239656943635,0,5477
Africa,03/07/2022 - 09/07/2022,752.469387755102,2130.637943414687,0,13947
Africa,10/07/2022 - 16/07/2022,710.204081632653,2997.8112778297095,0,20903
Africa,17/07/2022 - 23/07/2022,778.265306122449,3892.603080285255,0,27340
Africa,24/07/2022 - 30/07/2022,448.46938775510205,2043.7013715115934,0,14323
Africa,31/07/2022 - 06/08/2022,214.9591836734694,867.7329168390389,0,5967
Africa,07/08/2022 - 13/08/2022,188.30612244897958,697.0381447023311,0,4581
Africa,14/08/2022 - 20/08/2022,118.20408163265306,278.2299692993667,0,1894
Africa,21/08/2022 - 27/08/2022,76.34693877551021,137.39580158257024,0,754
Africa,28/08/2022 - 03/09/2022,54.04081632653061,111.66392269955888,0,621
Africa,04/09/2022 - 10/09/2022,59.51020408163265,164.99761645361474,0,962
Africa,11/09/2022 - 17/09/2022,45.30612244897959,95.7305689773893,0,361
Africa,18/09/2022 - 24/09/2022,35.51020408163265,99.01685934917423,0,551
Africa,25/09/2022 - 01/10/2022,51.3469387755102,132.0243902688073,0,667
Africa,02/10/2022 - 08/10/2022,43.57142857142857,127.79883280635494,0,723
Africa,09/10/2022 - 15/10/2022,60.69387755102041,133.40824001313172,0,470
Africa,16/10/2022 - 22/10/2022,52.326530612244895,121.28004571979645,0,424
Africa,23/10/2022 - 29/10/2022,63.30612244897959,139.5092894281047,0,693
Africa,30/10/2022 - 05/11/2022,72.18367346938776,127.45157143489634,0,469
Africa,06/11/2022 - 12/11/2022,102.04081632653062,177.74946778913213,0,718
Africa,13/11/2022 - 19/11/2022,113.77551020408163,260.1362035314483,0,1179
Africa,20/11/2022 - 26/11/2022,100.89795918367346,198.36931517773013,0,900
Africa,27/11/2022 - 03/12/2022,86.89795918367346,126.30605107204869,0,465
Africa,04/12/2022 - 10/12/2022,79.38775510204081,145.10912794722955,0,879
Africa,11/12/2022 - 17/12/2022,70.59183673469387,126.516289854862,0,678
Africa,18/12/2022 - 24/12/2022,66.79591836734694,107.85271198719667,0,408
Africa,25/12/2022 - 31/12/2022,52.142857142857146,82.26025771902249,0,418
Africa,01/01/2023 - 07/01/2023,40.08163265306123,66.50496119798565,0,357
Africa,08/01/2023 - 14/01/2023,47.775510204081634,105.55848799483206,0,602
Africa,15/01/2023 - 21/01/2023,103.9795918367347,378.9132205947644,0,2488
Africa,22/01/2023 - 28/01/2023,36.91836734693877,84.9367011207694,0,364
Africa,29/01/2023 - 04/02/2023,35.42857142857143,79.27010785914196,0,304
Africa,05/02/2023 - 11/02/2023,16.612244897959183,74.21360396588648,0,510
Africa,12/02/2023 - 18/02/2023,71.6938775510204,273.9036634233553,0,1755
Africa,19/02/2023 - 25/02/2023,28.959183673469386,114.44011519561832,0,736
Africa,26/02/2023 - 04/03/2023,77.9795918367347,285.27913887073817,0,1854
Africa,05/03/2023 - 11/03/2023,71.85714285714286,200.1086679571793,0,968
America,19/01/2020 - 25/01/2020,0.047619047619047616,0.2645642885299282,0,2
America,26/01/2020 - 01/02/2020,0.04081632653061224,0.30694140756311156,0,3
America,02/02/2020 - 08/02/2020,0.034013605442176874,0.2723556796763751,0,3
America,09/02/2020 - 15/02/2020,0.02040816326530612,0.14187529518897737,0,1
America,16/02/2020 - 22/02/2020,0.034013605442176874,0.21628766950061587,0,2
America,23/02/2020 - 29/02/2020,0.23129251700680273,0.9220883624112747,0,8
America,01/03/2020 - 07/03/2020,3.2653061224489797,15.980864640748356,0,166
America,08/03/2020 - 14/03/2020,22.632653061224488,94.5833749497535,0,759
America,15/03/2020 - 21/03/2020,187.8231292517007,846.3341878617248,0,6367
America,22/03/2020 - 28/03/2020,782.4625850340136,3238.856986510825,-1,22164
America,29/03/2020 - 04/04/2020,1508.5034013605443,6143.315116577018,0,35824
America,05/04/2020 - 11/04/2020,1768.0680272108843,6733.122147886097,0,36026
America,12/04/2020 - 18/04/2020,1679.9795918367347,6022.961299448067,-21,33157
America,19/04/2020 - 25/04/2020,1914.6190476190477,6310.9355105455525,0,32078
America,26/04/2020 - 02/05/2020,1946.1360544217687,5929.941629964588,0,34822
America,03/05/2020 - 09/05/2020,2043.9251700680272,5545.39314179814,-1583,28210
America,10/05/2020 - 16/05/2020,2126.3537414965986,5211.992907304335,-50,25877
America,17/05/2020 - 23/05/2020,2558.5850340136053,5810.480213624789,0,25112
America,24/05/2020 - 30/05/2020,2930.7891156462583,6418.183118096193,0,32321
America,31/05/2020 - 06/06/2020,3164.095238095238,7026.97983151449,0,32101
