Continent,Week,mean,std,min,max
Africa,30/05/2021 - 05/06/2021,376.0571428571429,593.1076156124442,0,1702
Africa,06/06/2021 - 12/06/2021,427.8285714285714,693.6051803573034,0,1950
Africa,13/06/2021 - 19/06/2021,532.0,826.8764044494766,0,2373
Africa,20/06/2021 - 26/06/2021,597.1142857142858,867.5871806143672,0,2379
Africa,27/06/2021 - 03/07/2021,975.5142857142857,1406.4439381861278,0,4664
Africa,04/07/2021 - 10/07/2021,1422.3428571428572,2134.3796859269155,0,6776
Africa,11/07/2021 - 17/07/2021,2075.057142857143,3113.0076712633618,0,9823
Africa,18/07/2021 - 24/07/2021,2202.0857142857144,2882.0917992832565,0,8473
Africa,25/07/2021 - 31/07/2021,1467.6857142857143,2003.6337837778133,0,6158
Africa,01/08/2021 - 07/08/2021,1429.4,1759.9540802833128,0,5967
Africa,08/08/2021 - 14/08/2021,1188.6571428571428,2118.5331349066687,0,8530
Africa,15/08/2021 - 21/08/2021,1022.0,1829.3248352715207,0,8197
Africa,22/08/2021 - 28/08/2021,971.2,1589.7687179179834,0,5622
Africa,29/08/2021 - 04/09/2021,946.2285714285714,1369.815790228622,0,4381
Africa,05/09/2021 - 11/09/2021,674.2857142857143,936.159475209865,0,3134
Africa,12/09/2021 - 18/09/2021,531.3428571428572,814.0351901215959,0,2869
Africa,19/09/2021 - 25/09/2021,779.2571428571429,1919.4994957763636,0,9607
Africa,26/09/2021 - 02/10/2021,355.1714285714286,622.3274854605602,0,2639
Africa,03/10/2021 - 09/10/2021,221.45714285714286,378.42260401156113,0,1623
Africa,10/10/2021 - 16/10/2021,142.0857142857143,225.52766511249223,0,977
Africa,17/10/2021 - 23/10/2021,100.02857142857142,175.16135178647107,0,813
Africa,24/10/2021 - 30/10/2021,144.8,391.7029787088831,0,2195
Africa,31/10/2021 - 06/11/2021,255.62857142857143,375.11724329666237,0,1066
Africa,07/11/2021 - 13/11/2021,424.48571428571427,1022.1950248888727,0,5654
Africa,14/11/2021 - 20/11/2021,458.4,726.183950119916,0,2125
Africa,21/11/2021 - 27/11/2021,351.8285714285714,570.6894429864061,0,1996
Africa,28/11/2021 - 04/12/2021,219.6,431.2247400956817,0,1875
Africa,05/12/2021 - 11/12/2021,272.74285714285713,451.31672345920174,0,2140
Africa,12/12/2021 - 18/12/2021,1121.9142857142858,2461.197286011885,-14,9185
Africa,19/12/2021 - 25/12/2021,1032.6571428571428,1919.6652579345723,0,7510
Africa,26/12/2021 - 01/01/2022,834.4857142857143,1420.916571865386,-41,4837
Africa,02/01/2022 - 08/01/2022,922.7142857142857,1626.8721988098832,0,7027
Africa,09/01/2022 - 15/01/2022,1242.4,2099.966178999361,0,9358
Africa,16/01/2022 - 22/01/2022,1877.2857142857142,3639.719329607618,0,16256
Africa,23/01/2022 - 29/01/2022,3040.285714285714,6777.096847520498,0,31401
Africa,30/01/2022 - 05/02/2022,4110.0,9600.305123827482,0,46914
Africa,06/02/2022 - 12/02/2022,2987.057142857143,7938.60540776326,0,45474
Africa,13/02/2022 - 19/02/2022,2089.342857142857,5198.612133472328,0,30782
Africa,20/02/2022 - 26/02/2022,1854.4857142857143,3853.1649662508426,0,21707
Africa,27/02/2022 - 05/03/2022,1316.2571428571428,2374.3718220994433,0,13632
Africa,06/03/2022 - 12/03/2022,713.9428571428572,1799.3599996674823,0,10036
Africa,13/03/2022 - 19/03/2022,1341.4857142857143,3133.355431026435,0,11566
Africa,20/03/2022 - 26/03/2022,633.7428571428571,2332.4658921011314,0,11196
Africa,27/03/2022 - 02/04/2022,727.8,2457.3805494277603,0,11642
Africa,03/04/2022 - 09/04/2022,1723.8,7199.246373140488,0,41576
Africa,10/04/2022 - 16/04/2022,497.7142857142857,1991.5621650209307,0,10996
Africa,17/04/2022 - 23/04/2022,509.6,2172.39961116463,0,12504
Africa,24/04/2022 - 30/04/2022,487.85714285714283,2356.0215237064513,0,13850
Africa,01/05/2022 - 07/05/2022,401.77142857142854,2175.7487701764585,0,12889
Africa,08/05/2022 - 14/05/2022,417.45714285714286,1854.5514653994176,0,10931
Africa,15/05/2022 - 21/05/2022,293.51428571428573,1330.228206238414,0,7865
Africa,22/05/2022 - 28/05/2022,246.57142857142858,915.6045346466706,0,5383
Africa,29/05/2022 - 04/06/2022,197.9142857142857,598.6797912381667,-573,3252
Africa,05/06/2022 - 11/06/2022,165.45714285714286,415.23716418573184,0,2046
Africa,12/06/2022 - 18/06/2022,161.62857142857143,505.27773875098734,0,2305
Africa,19/06/2022 - 25/06/2022,210.68571428571428,689.2599087780599,0,3811
Africa,26/06/2022 - 02/07/2022,298.7142857142857,880.1503070642027,0,4286
Africa,03/07/2022 - 09/07/2022,371.6,1035.4075696527032,0,5477
Africa,10/07/2022 - 16/07/2022,530.1142857142858,2388.3366938154277,0,13947
